,hex,reg_number,flag,latitude,longitude,altitude_ft,dir,speed_mph,v_speed_mph,flight_number,flight_icao,flight_iata,departure_icao,departure_iata,arrival_icao,arrival_iata,airline_icao,airline_iata,aircraft_icao,updated,status,type,squawk
56,008DF3,ZS-FGS,ZA,-32.158141,20.850911,37939.63376,229.0,456.707685,0.0,115,SFR115,FA115,FAOR,JNB,FACT,CPT,SFR,FA,B738,2025-12-04 14:32:32,en-route,adsb,Unknown
57,008DEA,ZS-FGJ,ZA,-29.506948,31.096135,6154.85584,320.8,301.364935,0.0,561,SFR561,FA561,FALE,DUR,FAOR,JNB,SFR,FA,B738,2025-12-04 14:32:32,en-route,adsb,Unknown
58,7C1471,VH-EBN,AU,34.415265,139.903779,18139.76436,348.5,431.231474,0.0,25,QFA25,QF25,YSSY,SYD,RJTT,HND,QFA,QF,A332,2025-12-04 14:32:32,en-route,adsb,Unknown
59,71C275,HL8275,KR,35.535926,126.909738,31062.99312,6.0,517.602043,0.0,624,KAL624,KE624,RPLL,MNL,RKSI,ICN,KAL,KE,B77W,2025-12-04 14:32:32,en-route,adsb,Unknown
60,06A0BB,A7-BCW,QA,22.660217,71.585901,42690.29008,98.3,620.128258,0.0,974,QTR974,QR974,OTHH,DOH,VVTS,SGN,QTR,QR,B788,2025-12-04 14:32:32,en-route,adsb,Unknown
61,70C0F7,A4O-MA,OM,18.40619,71.741484,38589.24008,117.7,535.621802,0.0,821,OMA821,WY821,OOMS,MCT,WMKK,KUL,OMA,WY,B38M,2025-12-04 14:32:32,en-route,adsb,Unknown
62,8964E8,A6-AOU,AE,11.550195,75.410232,39064.96188,128.9,511.388333,0.0,587,ABY587,G9587,OMSJ,SHJ,VCBI,CMB,ABY,G9,A320,2025-12-04 14:32:32,en-route,adsb,Unknown
63,800D36,VT-IZM,IN,25.212254,77.24962,37513.12456,358.9,538.728657,0.0,5274,IGO5274,6E5274,VOCI,COK,VIDP,DEL,IGO,6E,A20N,2025-12-04 14:32:32,en-route,adsb,Unknown
64,80152C,VT-IMY,IN,13.190503,77.595673,4580.05264,89.8,167.77017,0.0,691,IGO691,6E691,VOTV,TRV,VOBL,BLR,IGO,6E,A21N,2025-12-04 14:32:32,en-route,adsb,Unknown
65,06A07C,A7-BAP,QA,13.302939,79.350103,35889.10876,301.6,570.418578,0.0,1841,QTR1841,QR1841,VTSP,HKT,OTHH,DOH,QTR,QR,B77W,2025-12-04 14:32:32,en-route,adsb,Unknown
66,800AF1,VT-IFZ,IN,12.568963,82.177649,38038.05896,266.9,502.689139,0.0,1004,IGO1004,6E1004,WSSS,SIN,VOMM,MAA,IGO,6E,A320,2025-12-04 14:32:32,en-route,adsb,Unknown
67,3C7A45,D-ANRE,DE,23.333658,85.158653,35715.22424,302.5,511.388333,0.0,2363,CFG2363,DE2363,VTBS,BKK,EDDF,FRA,CFG,DE,A339,2025-12-04 14:32:32,en-route,adsb,Unknown
68,70C101,A4O-MG,OM,25.504982,54.790965,38362.86212,120.2,574.768175,0.0,406,OMA406,WY406,HECA,CAI,OOMS,MCT,OMA,WY,B38M,2025-12-04 14:32:32,en-route,adsb,Unknown
69,89633A,A6-EIP,AE,23.224197,56.529122,29363.518,298.2,500.203655,0.0,335,ETD335,EY335,VOCI,COK,OMAA,AUH,ETD,EY,A320,2025-12-04 14:32:33,en-route,adsb,Unknown
70,7020B4,S2-AJH,BD,24.093673,61.892102,36414.04316,89.4,589.059708,0.0,342,UBG342,BS342,OMDB,DXB,VGHS,DAC,UBG,BS,B738,2025-12-04 14:32:33,en-route,adsb,Unknown
71,06A093,A7-AHI,QA,22.911918,68.881293,36512.46836,94.7,567.933094,0.0,590,QTR590,QR590,OTHH,DOH,VANP,NAG,QTR,QR,A320,2025-12-04 14:32:33,en-route,adsb,Unknown
72,4BB863,TC-NCC,TR,37.609421,30.847747,20114.83004,8.0,465.406879,0.0,1576,PGT1576,PC1576,LTAI,AYT,UUWW,VKO,PGT,PC,A20N,2025-12-04 14:32:33,en-route,adsb,Unknown
73,710DBC,HZ-NS34,SA,37.095313,32.140859,35590.55232,128.5,538.728657,0.0,300,KNE300,XY300,LTFM,IST,OERK,RUH,KNE,XY,A20N,2025-12-04 14:32:33,en-route,adsb,Unknown
74,717CBF,HZ-NS56,SA,29.180663,32.749597,27165.355199999998,309.0,398.920182,0.0,573,KNE573,XY573,OEJN,JED,HECA,CAI,KNE,XY,A20N,2025-12-04 14:32:33,en-route,adsb,Unknown
75,0101E1,SU-AAE,EG,29.287689,33.793816,34064.96172,289.0,444.901636,0.0,213,RBG213,E5213,OKKK,KWI,HECA,CAI,RBG,E5,A320,2025-12-04 14:32:33,en-route,adsb,Unknown
76,75025D,9M-MTJ,MY,26.907045,46.373512,38313.64952,74.2,589.681079,0.0,159,MAS159,MH159,OEMA,MED,WMKK,KUL,MAS,MH,A333,2025-12-04 14:32:33,en-route,adsb,Unknown
77,4CADFA,EI-HPA,IT,38.025348,47.784473,37388.45264,116.0,587.816966,0.0,770,ITY770,AZ770,LIRF,FCO,VIDP,DEL,ITY,AZ,A339,2025-12-04 14:32:33,en-route,adsb,Unknown
78,4AC9E4,SE-ROD,SE,43.977651,27.182045,38064.30568,322.0,482.183896,0.0,772,SAS772,SK772,LLBG,TLV,EKCH,CPH,SAS,SK,A20N,2025-12-04 14:32:33,en-route,adsb,Unknown
79,4A08E6,YR-BGF,RO,43.504238,27.594041,35688.97752,149.0,490.88309,0.0,155,ROT155,RO155,LROP,OTP,LLBG,TLV,ROT,RO,B737,2025-12-04 14:32:33,en-route,adsb,Unknown
80,4690E1,SX-DGA,GR,39.395722,21.711879,33139.764839999996,119.0,482.805267,0.0,973,AEE973,A3973,LATI,TIA,LGAV,ATH,AEE,A3,A321,2025-12-04 14:32:33,en-route,adsb,Unknown
