hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status,type,squawk
710DBC,HZ-NS34,SA,37.095313,32.140859,10848,128.5,867,0,300,KNE300,XY300,LTFM,IST,OERK,RUH,KNE,XY,A20N,1764876753,en-route,adsb,
717CBF,HZ-NS56,SA,29.180663,32.749597,8280,309.0,642,0,573,KNE573,XY573,OEJN,JED,HECA,CAI,KNE,XY,A20N,1764876753,en-route,adsb,
0101E1,SU-AAE,EG,29.287689,33.793816,10383,289.0,716,0,213,RBG213,E5213,OKKK,KWI,HECA,CAI,RBG,E5,A320,1764876753,en-route,adsb,
75025D,9M-MTJ,MY,26.907045,46.373512,11678,74.2,949,0,159,MAS159,MH159,OEMA,MED,WMKK,KUL,MAS,MH,A333,1764876753,en-route,adsb,
4CADFA,EI-HPA,IT,38.025348,47.784473,11396,116.0,946,0,770,ITY770,AZ770,LIRF,FCO,VIDP,DEL,ITY,AZ,A339,1764876753,en-route,adsb,
4AC9E4,SE-ROD,SE,43.977651,27.182045,11602,322.0,776,0,772,SAS772,SK772,LLBG,TLV,EKCH,CPH,SAS,SK,A20N,1764876753,en-route,adsb,
4A08E6,YR-BGF,RO,43.504238,27.594041,10878,149.0,790,0,155,ROT155,RO155,LROP,OTP,LLBG,TLV,ROT,RO,B737,1764876753,en-route,adsb,
4690E1,SX-DGA,GR,39.395722,21.711879,10101,119.0,777,0,973,AEE973,A3973,LATI,TIA,LGAV,ATH,AEE,A3,A321,1764876753,en-route,adsb,
4B8E45,TC-CRE,TR,40.976619,29.808165,2044,270.3,503,0,2739,PGT2739,PC2739,LTAU,ASR,LTFJ,SAW,PGT,PC,B738,1764876753,en-route,adsb,
4B194C,HB-JPC,CH,42.333711,18.077591,10360,314.9,881,0,253,SWR253,LX253,LLBG,TLV,LSZH,ZRH,SWR,LX,A21N,1764876753,en-route,adsb,
8963B1,A6-FEO,AE,47.329075,19.843819,4825,302.7,703,0,1405,FDB1405,FZ1405,OMDB,DXB,LHBP,BUD,FDB,FZ,B738,1764876753,en-route,adsb,
71C517,HL8517,KR,59.329051,-163.209594,11297,74.9,927,0,131,APZ131,YP131,RKSI,ICN,KEWR,EWR,APZ,YP,B789,1764876753,en-route,adsb,
ADBDC1,N985AK,US,56.48036,-150.126979,9316,178.1,841,0,91,ASA91,AS91,KMSP,MSP,KSEA,SEA,ASA,AS,B39M,1764876753,en-route,adsb,
A8103E,N619AS,US,64.813354,-147.866239,155,39.3,123,0,108,ASA108,AS108,PANC,ANC,PAFA,FAI,ASA,AS,B737,1764876753,en-route,adsb,
