,hex,reg_number,flag,latitude,longitude,altitude_ft,dir,speed_mph,v_speed_mph,flight_number,flight_icao,flight_iata,departure_icao,departure_iata,arrival_icao,arrival_iata,airline_icao,airline_iata,aircraft_icao,updated,status,type
20,888170,VN-A625,VN,35.353539,126.72613,32063.64932,186.0,497.718171,0.0,431,HVN431,VN431,RKSI,ICN,VVDN,DAD,HVN,VN,A21N,2025-12-02 20:54:24,en-route,adsb
21,896334,A6-FEC,AE,11.655811,76.380087,37063.64948,147.9,521.95164,0.0,579,FDB579,FZ579,OMDB,DXB,VCBI,CMB,FDB,FZ,B738,2025-12-02 20:54:24,en-route,adsb
22,896596,A6-XWA,AE,33.554608,135.515923,39064.96188,84.0,728.246812,0.0,800,ETD800,EY800,OMAA,AUH,RJAA,NRT,ETD,EY,A35K,2025-12-02 20:54:24,en-route,adsb
23,7C7A3D,VH-YFJ,AU,-32.17386,116.356664,12880.57784,114.4,431.852845,0.0,686,VOZ686,VA686,YPPH,PER,YMML,MEL,VOZ,VA,B738,2025-12-02 20:54:24,en-route,adsb
24,7C81E0,VH-ZXU,AU,-34.748013,136.366748,11056.4308,276.4,322.491549,0.0,4366,RXA4366,ZL4366,YPAD,ADL,YPLC,PLO,RXA,ZL,SF34,2025-12-02 20:54:24,en-route,adsb
25,7C6B0E,VH-VFK,AU,-38.628106,146.947812,34888.45256,292.1,482.183896,0.0,220,JST220,JQ220,NZQN,ZQN,YMML,MEL,JST,JQ,A320,2025-12-02 20:54:24,en-route,adsb
26,7C810D,VH-ZRZ,AU,-35.086945,147.687152,8231.62756,64.9,241.713319,0.0,6668,RXA6668,ZL6668,YSWG,WGA,YSSY,SYD,RXA,ZL,SF34,2025-12-02 20:54:24,en-route,adsb
27,7C7A46,VH-YFS,AU,-34.052314,151.214879,1781.49612,347.2,173.98388,0.0,516,VOZ516,VA516,YBCG,OOL,YSSY,SYD,VOZ,VA,B738,2025-12-02 20:54:24,en-route,adsb
28,7C6B13,VH-VFP,AU,-31.006007,151.662924,37490.15868,194.2,515.116559,0.0,409,JST409,JQ409,YBCG,OOL,YSSY,SYD,JST,JQ,A320,2025-12-02 20:54:24,en-route,adsb
29,8A0947,PK-TLB,ID,-7.420955,112.673633,34238.84624,303.3,523.815753,0.0,5105,TNU5105,8B5105,WADD,DPS,WIII,CGK,TNU,8B,A320,2025-12-02 20:54:24,en-route,adsb
30,7817FB,B-20DT,CN,-14.140126,131.975086,40662.73096,337.7,553.02019,0.0,1656,DKH1656,HO1656,YMML,MEL,ZSPD,PVG,DKH,HO,B789,2025-12-02 20:54:24,en-route,adsb
31,780AB2,B-LCL,HK,22.324315,117.01883,37290.02744,269.7,467.892363,0.0,625,HKE625,UO625,RJTT,HND,VHHH,HKG,HKE,UO,A20N,2025-12-02 20:54:24,en-route,adsb
32,8990DC,B-16713,TW,20.446571,119.285143,31062.99312,226.0,554.262932,0.0,395,EVA395,BR395,RCTP,TPE,VVTS,SGN,EVA,BR,B77W,2025-12-02 20:54:24,en-route,adsb
33,89662B,A6-ETA,AE,15.991583,120.106773,33238.19004,152.0,545.5637380000001,0.0,440,ETD440,EY440,OMAA,AUH,RPLL,MNL,ETD,EY,B77W,2025-12-02 20:54:24,en-route,adsb
34,78928A,B-LHJ,HK,23.715801,120.287917,39064.96188,44.0,597.758902,0.0,690,CRK690,HX690,VHHH,HKG,RJCC,CTS,CRK,HX,A333,2025-12-02 20:54:24,en-route,adsb
35,76D1C6,9V-TNF,SG,22.088984,120.776663,37437.66524,214.7,498.960913,0.0,813,TGW813,TR813,RKPC,CJU,WSSS,SIN,TGW,TR,A20N,2025-12-02 20:54:24,en-route,adsb
36,75027D,9M-AQD,MY,1.865207,108.878943,32565.61784,287.5,474.106073,0.0,5203,AXM5203,AK5203,WBGG,KCH,WMKK,KUL,AXM,AK,A320,2025-12-02 20:54:24,en-route,adsb
37,76B869,9V-NCI,SG,-7.293988,110.711295,35190.28984,206.3,526.922608,0.0,200,TGW200,TR200,WSSS,SIN,WAHI,YIA,TGW,TR,A21N,2025-12-02 20:54:24,en-route,adsb
38,781B48,B-MBT,MO,14.645395,102.1825,36240.15864,253.4,527.543979,0.0,996,AMU996,NX996,VMMC,MFM,VTBS,BKK,AMU,NX,A21N,2025-12-02 20:54:24,en-route,adsb
39,7586B0,RP-C4126,PH,16.507578,107.615202,37312.99332,341.1,541.835512,0.0,744,CEB744,5J744,RPLL,MNL,VVNB,HAN,CEB,5J,A21N,2025-12-02 20:54:24,en-route,adsb
